Bank	AllOrds	Develop	Mining	Gold	Build	Prop	Indust	Energy	Finance	Resources	Transport	Retail	Unemploy	CPI	BankBill
2371.70	6287.10	2763.00	780.70	1928.30	2152.50	1086.50	2678.40	764.70	2020.30	1020.50	2538.40	2596.30	11.90	109.30	5.25
2495.50	6675.40	3044.20	882.90	2367.40	2196.70	1177.00	2800.20	787.80	2060.50	1115.40	2607.60	2518.90	11.90	109.80	4.95
2731.50	7109.80	3116.60	878.80	2179.90	2293.80	1217.60	3021.00	837.40	2196.80	1153.80	2680.10	2580.60	11.90	109.80	4.75
2722.10	7149.80	3210.10	796.50	1932.00	2329.30	1160.50	3082.70	914.00	2197.10	1107.80	2659.70	2670.60	11.90	109.80	4.85
2925.00	7736.30	3457.10	876.50	2161.30	2501.70	1142.40	3289.60	1011.00	2315.90	1211.80	2902.20	2906.40	11.80	110.00	4.80
2820.50	7372.40	3290.10	878.40	2071.30	2443.70	1124.10	3109.70	888.80	2314.90	1169.50	2694.00	2720.90	11.70	110.00	4.82
2953.60	8001.60	3386.70	1025.90	2476.00	2614.50	1191.40	3309.30	921.70	2518.80	1310.60	2949.70	2920.00	11.50	110.00	4.83
3221.60	8508.30	3618.60	1098.20	2604.00	2762.50	1213.30	3506.60	928.00	2675.20	1403.20	3320.80	2945.50	11.40	110.40	4.79
3008.30	8037.80	3417.10	1006.40	2291.50	2712.50	1164.20	3337.40	874.60	2632.30	1299.70	3243.30	2758.30	11.30	110.40	4.81
2773.00	7614.50	3305.20	999.20	2301.50	2480.50	1146.30	3114.30	815.30	2470.40	1247.80	2977.40	2583.30	11.10	110.40	4.94
2837.10	7671.90	3271.00	961.90	2186.20	2494.50	1124.10	3152.60	874.20	2435.60	1240.30	3136.10	2495.90	10.90	111.20	4.87
2765.70	7760.10	3174.60	1029.40	2277.60	2490.80	1115.60	3086.90	884.90	2451.10	1324.00	3236.40	2390.90	10.70	111.20	4.84
2601.10	7447.60	3105.10	982.60	2153.40	2401.30	1105.50	2928.40	892.70	2358.10	1282.40	2982.50	2342.30	10.50	111.20	5.47
2665.10	7724.50	3142.10	1020.20	2238.00	2475.30	1107.20	3022.40	934.50	2419.10	1339.70	3118.90	2322.80	10.30	111.90	5.38
2578.20	7959.00	3227.70	1084.60	2310.20	2514.80	1077.30	3052.30	940.30	2477.90	1428.30	3309.90	2360.40	10.00	111.90	5.69
2460.10	7650.30	3143.50	1074.60	2387.70	2410.70	1060.70	2879.20	933.10	2355.60	1397.80	2982.30	2281.50	9.90	111.90	6.08
2532.10	7749.00	3083.00	1081.00	2291.90	2459.10	1076.30	2879.10	945.60	2318.40	1428.00	2952.70	2288.50	9.70	112.80	6.57
2471.80	7189.10	2932.70	945.00	1963.80	2362.40	1044.60	2728.00	852.30	2221.50	1265.60	2710.40	2223.80	9.60	112.80	7.28
2526.10	7307.80	2942.60	927.30	1913.40	2413.30	1040.90	2765.30	857.30	2208.30	1275.80	2702.80	2305.90	9.50	112.80	8.15
2568.20	6997.00	2831.80	839.20	1685.70	2314.00	1014.60	2699.40	839.50	2131.10	1177.20	2498.60	2237.00	9.40	114.70	8.46
2771.40	7351.60	3057.90	852.30	1674.20	2464.10	1049.70	2875.00	882.10	2201.90	1198.60	2622.50	2394.90	9.30	114.70	8.14
2823.90	7356.30	2994.00	838.70	1699.10	2370.70	1083.20	2876.00	909.70	2183.00	1172.60	2528.20	2365.10	9.20	114.70	8.08
2937.20	7929.10	3168.00	940.00	1929.40	2434.70	1097.20	3037.90	964.50	2292.80	1306.80	2737.00	2417.30	9.00	116.20	8.02
2929.00	7834.70	3219.50	888.80	1815.00	2417.40	1118.40	3035.20	932.00	2263.20	1251.40	2704.60	2333.30	8.90	116.20	7.60
2849.20	7872.50	3254.70	907.60	1867.50	2469.00	1097.30	3026.00	901.60	2257.40	1254.50	2592.00	2335.00	8.90	116.20	7.57
2875.00	8259.30	3350.10	986.80	1889.50	2525.60	1088.60	3104.10	955.80	2308.90	1375.00	2590.80	2273.50	8.90	117.60	7.56
2964.70	8337.30	3501.40	997.90	1856.90	2492.20	1068.30	3129.10	978.60	2408.10	1386.00	2659.30	2401.80	8.90	117.60	7.57
3102.10	8399.30	3579.10	978.60	1858.30	2436.70	1070.80	3183.00	988.50	2435.20	1345.40	2840.80	2431.30	9.00	117.60	7.50
3026.00	8202.80	3513.30	937.00	1722.60	2285.00	1063.80	3099.70	958.30	2446.50	1298.50	2723.80	2522.90	9.00	118.50	7.48
3178.80	8566.10	3720.10	998.60	1845.20	2362.40	1060.00	3212.90	997.00	2473.60	1363.90	2792.70	2482.20	9.00	118.50	7.41
3320.10	8783.10	3830.40	998.30	1862.00	2428.00	1079.00	3285.40	1042.60	2640.10	1386.40	2762.30	2500.80	9.00	118.50	7.42
3561.80	9128.70	4099.30	1020.80	2152.30	2495.90	1116.30	3454.30	1081.60	2678.70	1406.40	2765.60	2605.30	9.00	119.00	7.48
3437.60	9164.10	4094.60	1045.60	2155.70	2570.10	1080.00	3425.10	1146.80	2709.50	1433.30	2936.40	2603.60	8.90	119.00	7.50
3239.50	8954.90	3883.30	1035.20	2069.90	2467.80	1037.10	3309.10	1152.30	2654.20	1409.20	2948.50	2513.80	8.90	119.00	7.55
3258.90	9347.50	4106.90	1097.90	2173.40	2548.10	1037.00	3407.10	1189.20	2759.30	1498.10	3086.60	2657.50	8.90	119.80	7.54
3222.60	9172.90	4167.60	1085.80	2158.60	2514.10	1006.20	3329.40	1185.40	2705.70	1467.90	3035.90	2587.70	8.90	119.80	7.54
3229.70	9119.00	4309.70	1026.30	1978.10	2475.20	1046.40	3360.20	1227.20	2717.80	1397.00	3010.90	2561.00	8.90	119.80	7.59
3281.30	8869.50	4164.90	968.00	1851.60	2376.10	1068.00	3291.60	1266.40	2769.80	1338.30	2964.00	2429.10	9.00	120.10	7.44
3428.40	9259.70	4422.50	1009.80	1966.90	2426.00	1091.60	3439.30	1271.80	2986.00	1380.30	3175.90	2422.20	9.00	120.10	6.92
3675.70	9393.50	4536.90	952.50	1804.90	2481.60	1107.60	3543.60	1413.10	3059.30	1331.60	3308.50	2469.20	9.00	120.10	6.91
3851.90	9697.80	4696.90	948.50	1813.80	2426.20	1120.50	3646.30	1467.90	3124.80	1357.30	3463.70	2523.20	9.10	120.30	6.58
4080.70	9866.60	4902.00	950.80	1813.80	2429.90	1160.80	3682.30	1482.90	3195.00	1400.20	3491.40	2575.10	9.10	120.30	6.42
3991.80	10016.90	5046.00	960.80	1830.30	2679.80	1137.50	3754.90	1556.30	3230.20	1406.20	3848.60	2722.10	9.10	120.30	5.99
4170.50	10069.00	4833.40	940.50	1722.00	2624.90	1137.00	3769.40	1574.60	3251.10	1391.60	3639.80	2699.30	9.10	120.50	5.79
4180.90	10217.50	4949.20	972.80	1791.50	2692.10	1178.10	3830.20	1538.90	3280.80	1388.70	3645.00	2947.00	9.10	120.50	6.01
4174.90	10150.80	4770.80	934.10	1666.50	2905.00	1146.60	3791.10	1596.00	3202.10	1369.50	3590.20	2996.00	9.20	120.50	6.08
4349.30	10454.60	5238.90	893.00	1560.70	2839.10	1138.90	3906.30	1709.90	3146.70	1395.20	3864.40	3150.80	9.20	120.20	5.99
4579.30	10992.60	5517.10	955.80	1563.40	3001.10	1179.90	4062.30	1865.50	3336.50	1497.30	3930.90	3236.40	9.20	120.20	5.63
4919.30	11541.10	5780.20	920.30	1465.30	3194.10	1243.60	4301.80	1905.00	3450.10	1508.80	4216.00	3522.00	9.20	120.20	5.20
5192.60	11583.00	6097.80	866.30	1325.90	3182.60	1255.20	4392.50	1994.90	3545.50	1443.90	4321.60	3486.60	9.20	120.20	5.10
4857.80	11015.60	5940.60	806.50	1305.20	3021.70	1185.40	4177.20	1887.60	3361.70	1357.20	4180.50	3329.20	9.20	120.20	5.00
